Icon10k	e951
DoorSensor	e28a
DoorSliding	effe
Doorbell	efff
Doorbell3p	e1e7
DoorbellChime	e1f3
DoubleArrow	ea50
DownhillSkiing	e509
Download	f090
Download2	f523
DownloadDone	f091
DownloadForOffline	f000
Downloading	f001
Draft	e66d
DraftOrders	e7b3
Drafts	e151
DragClick	f71f
DragHandle	e25d
DragIndicator	e945
DragPan	f71e
Draw	e746
DrawAbstract	f7f8
DrawCollage	f7f7
DrawingRecognition	eb00
Dresser	e210
DriveEta	eff7
DriveExport	f41d
DriveFileMove	e9a1
DriveFileMoveOutline	e9a1
DriveFileMoveRtl	e9a1
DriveFileRename	e676
DriveFileRenameOutline	e9a2
DriveFolderUpload	e9a3
Drone	f25a
Drone2	f259
Dropdown	e9a4
DropdownMenu	ffef0
DropperEye	f351
Dry	f1b3
DryCleaning	ea58
DualScreen	f6cf
Duo	e9a5
Dvr	e1b2
DynamicFeed	ea14
DynamicForm	f1bf
E911Avatar	f11a
E911Emergency	f119
EMobiledata	f002
EMobiledataBadge	f7e3
EarSound	f356
EarbudCase	f327
EarbudLeft	f326
EarbudRight	f325
Earbuds	f003
Earbuds2	f324
EarbudsBattery	f004
EarlyOn	e2ba
Earthquake	f64f
East	f1df
Ecg	f80f
EcgHeart	f6e9
Eco	ea35
Eda	f6e8
EdgesensorHigh	f2ef
EdgesensorLow	f2ee
Edit	f097
EditArrowDown	f380
EditArrowUp	f37f
EditAttributes	e578
EditAudio	f42d
EditCalendar	e742
EditDocument	f88c
EditLocation	e568
EditLocationAlt	e1c5
EditNote	e745
EditNotifications	e525
EditOff	e950
EditRoad	ef4d
EditSquare	f88d
EditorChoice	f528
Egg	eacc
EggAlt	eac8
Eject	e8fb
Elderly	f21a
ElderlyWoman	eb69
ElectricBike	eb1b
ElectricBolt	ec1c
ElectricCar	eb1c
ElectricMeter	ec1b
ElectricMoped	eb1d
ElectricRickshaw	eb1e
ElectricScooter	eb1f
ElectricalServices	f102
Elevation	f6e7
Elevator	f1a0
Email	e159
Emergency	e1eb
EmergencyHeat	f15d
EmergencyHeat2	f4e5
EmergencyHome	e82a
EmergencyRecording	ebf4
EmergencyShare	ebf6
EmergencyShareOff	f59e
EmojiEmotions	ea22
EmojiEvents	ea23
EmojiFlags	f0c6
EmojiFoodBeverage	ea1b
EmojiLanguage	f4cd
EmojiNature	ea1c
EmojiObjects	ea24
EmojiPeople	ea1d
EmojiSymbols	ea1e
EmojiTransportation	ea1f
Emoticon	e5f3
EmptyDashboard	f844
Enable	f188
Encrypted	e593
EncryptedAdd	f429
EncryptedAddCircle	f42a
EncryptedMinusCircle	f428
EncryptedOff	f427
Endocrinology	e0a9
Energy	e9a6
EnergyProgramSaving	f15f
EnergyProgramTimeUsed	f161
EnergySavingsLeaf	ec1a
Engineering	ea3d
EnhancedEncryption	e63f
Ent	e0aa
Enterprise	e70e
EnterpriseOff	eb4d
Equal	f77b
Equalizer	e01d
EraserSize1	f3fc
EraserSize2	f3fb
EraserSize3	f3fa
EraserSize4	f3f9
EraserSize5	f3f8
Error	f8b6
ErrorCircleRounded	f8b6
ErrorMed	e49b
ErrorOutline	f8b6
Escalator	f1a1
EscalatorWarning	f1ac
Euro	ea15
EuroSymbol	e926
EvCharger	e56d
EvMobiledataBadge	f7e2
EvShadow	ef8f
EvShadowAdd	f580
EvShadowMinus	f57f
EvStation	e56d
Event	e878
EventAvailable	e614
EventBusy	e615
EventList	f683
EventNote	e616
EventRepeat	eb7b
EventSeat	e903
EventUpcoming	f238
Exclamation	f22f
Exercise	f6e6
ExitToApp	e879
Expand	e94f
ExpandAll	e946
ExpandCircleDown	e7cd
ExpandCircleRight	f591
ExpandCircleUp	f5d2
ExpandContent	f830
ExpandLess	e5ce
ExpandMore	e5cf
ExpansionPanels	ef90
ExpensionPanels	ef90
Experiment	e686
Explicit	e01e
Explore	e87a
ExploreNearby	e538
ExploreOff	e9a8
Explosion	f685
ExportNotes	e0ac
Exposure	e3f6
ExposureNeg1	e3cb
ExposureNeg2	e3cc
ExposurePlus1	e800
ExposurePlus2	e3ce
ExposureZero	e3cf
Extension	e87b
ExtensionOff	e4f5
EyeTracking	f4c9
Eyebrow	eeb3
Eyeglasses	f6ee
Eyeglasses2	f2c7
Eyeglasses2Sound	f265
Eyeglasses3	ffef1
Face	f008
Face2	f8da
Face3	f8db
Face4	f8dc
Face5	f8dd
Face6	f8de
FaceDown	f402
FaceLeft	f401
FaceNod	f400
FaceRetouchingNatural	ef4e
FaceRetouchingOff	f007
FaceRight	f3ff
FaceShake	f3fe
FaceUnlock	f008
FaceUp	f3fd
FactCheck	f0c5
Factory	ebbc
Falling	f60d
FamiliarFaceAndZone	e21c
FamilyGroup	eef2
FamilyHistory	e0ad
FamilyHome	eb26
FamilyLink	eb19
FamilyRestroom	f1a2
FamilyStar	f527
FanFocus	f334
FanIndirect	f333
FarsightDigital	f559
FastForward	e01f
FastRewind	e020
Fastfood	e57a
Faucet	e278
Favorite	e87e
FavoriteBorder	e87e
Fax	ead8
FeatureSearch	e9a9
FeaturedPlayList	e06d
FeaturedSeasonalAndGifts	ef91
FeaturedVideo	e06e
Feed	f009
Feedback	e87f
Female	e590
Femur	f891
FemurAlt	f892
Fence	f1f6
Fertile	f6e5
Festival	ea68
FiberDvr	e05d
FiberManualRecord	e061
FiberNew	e05e
FiberPin	e06a
FiberSmartRecord	e062
FileCopy	e173
FileCopyOff	f4d8
FileDownload	f090
FileDownloadDone	f091
FileDownloadOff	e4fe
FileExport	f3b2
FileJson	f3bb
FileMap	e2c5
FileMapStack	f3e2
FileOpen	eaf3
FilePng	f3bc
FilePresent	ea0e
FileSave	f17f
FileSaveOff	e505
FileUpload	f09b
FileUploadOff	f886
Files	ea85
Filter	e3d3
Filter1	e3d0
Filter2	e3d1
Filter3	e3d2
Filter4	e3d4
Filter5	e3d5
Filter6	e3d6
Filter7	e3d7
Filter8	e3d8
Filter9	e3d9
Filter9Plus	e3da
FilterAlt	ef4f
FilterAltOff	eb32
FilterArrowRight	f3d1
FilterBAndW	e3db
FilterCenterFocus	e3dc
FilterDrama	e3dd
FilterFrames	e3de
FilterHdr	e3df
FilterList	e152
FilterListAlt	e94e
FilterListOff	eb57
FilterNone	e3e0
FilterRetrolux	e3e1
FilterTiltShift	e3e2
FilterVintage	e3e3
Finance	e6bf
FinanceChip	f84e
FinanceMode	ef92
FindInPage	e880
FindReplace	e881
Fingerprint	e90d
FingerprintOff	f49d
FireCheck	fffa8
FireExtinguisher	f1d8
FireHydrant	f1a3
FireTruck	f8f2
Fireplace	ea43
FirstPage	e5dc
FitPage	f77a
FitPageHeight	f397
FitPageWidth	f396
FitScreen	ea10
FitWidth	f779
FitnessCenter	eb43
FitnessTracker	f463
FitnessTrackers	eef1
Flag	f0c6
Flag2	f40f
FlagCheck	f3d8
FlagCircle	eaf8
FlagFilled	f0c6
Flaky	ef50
Flare	e3e4
FlashAuto	e3e5
FlashOff	e3e6
FlashOn	e3e7
FlashlightOff	f00a
FlashlightOn	f00b
Flatware	f00c
FlexDirection	f778
FlexNoWrap	f777
FlexWrap	f776
Flight	e539
FlightClass	e7cb
FlightLand	e904
FlightTakeoff	e905
FlightsAndHotels	e9ab
Flightsmode	ef93
Flip	e3e8
FlipCameraAndroid	ea37
FlipCameraIos	ea38
FlipToBack	e882
FlipToFront	e883
FloatLandscape2	f45c
FloatPortrait2	f45b
Flood	ebe6
Floor	f6e4
FloorLamp	e21e
Flourescent	f07d
Flowchart	f38d
Flowsheet	e0ae
Fluid	e483
FluidBalance	f80d
FluidMed	f80c
Fluorescent	f07d
Flutter	f1dd
FlutterDash	e00b
Flyover	f478
FmdBad	f00e
FmdGood	f1db
Foggy	e818
FoldedHands	f5ed
Folder	e2c7
FolderCheck	f3d7
FolderCheck2	f3d6
FolderCode	f3c8
FolderCopy	ebbd
FolderData	f586
FolderDelete	eb34
FolderEye	f3d5
FolderInfo	f395
FolderLimited	f4e4
FolderManaged	f775
FolderMatch	f3d4
FolderOff	eb83
FolderOpen	e2c8
FolderShared	e2c9
FolderSpecial	e617
FolderSupervised	f774
FolderZip	eb2c
FollowTheSigns	f222
FontDownload	e167
FontDownloadOff	e4f9
FoodBank	f1f2
FootBones	f893
Footprint	f87d
ForYou	e9ac
Forest	ea99
ForkChart	fffa6
ForkLeft	eba0
ForkRight	ebac
ForkSpoon	f3e4
Forklift	f868
FormatAlignCenter	e234
FormatAlignJustify	e235
FormatAlignLeft	e236
FormatAlignRight	e237
FormatBold	e238
FormatClear	e239
FormatColorFill	e23a
FormatColorReset	e23b
FormatColorText	e23c
FormatH1	f85d
FormatH2	f85e
FormatH3	f85f
FormatH4	f860
FormatH5	f861
FormatH6	f862
FormatImageBack	eeb0
FormatImageBreakLeft	eeaf
FormatImageBreakRight	eeae
FormatImageFront	eead
FormatImageInlineLeft	eeac
FormatImageInlineRight	ffffd
FormatImageLeft	f863
FormatImageRight	f864
FormatIndentDecrease	e23d
FormatIndentIncrease	e23e
FormatInkHighlighter	f82b
FormatItalic	e23f
FormatLetterSpacing	f773
FormatLetterSpacing2	f618
FormatLetterSpacingStandard	f617
FormatLetterSpacingWide	f616
FormatLetterSpacingWider	f615
FormatLineSpacing	e240
FormatListBulleted	e241
FormatListBulletedAdd	f849
FormatListNumbered	e242
FormatListNumberedRtl	e267
FormatOverline	eb65
FormatPaint	e243
FormatPaintOff	fff97
FormatParagraph	f865
FormatQuote	e244
FormatQuoteOff	f413
FormatShapes	e25e
FormatSize	e245
FormatStrikethrough	e246
FormatTextClip	f82a
FormatTextOverflow	f829
FormatTextWrap	f828
FormatTextdirectionLToR	e247
FormatTextdirectionRToL	e248
FormatTextdirectionVertical	f4b8
FormatUnderlined	e249
FormatUnderlinedSquiggle	f885
FormsAddOn	f0c7
FormsAppsScript	f0c8
Fort	eaad
Forum	e8af
Forward	f57a
Forward10	e056
Forward30	e057
Forward5	e058
ForwardCircle	f6f5
ForwardMedia	f6f4
ForwardToInbox	f187
Foundation	f200
Fragrance	f345
FrameBug	eeef
FrameExclamation	eeee
FrameInspect	f772
FramePerson	f8a6
FramePersonMic	f4d5
FramePersonOff	f7d1
FrameReload	f771
FrameSource	f770
FreeBreakfast	eb44
FreeCancellation	e748
FrontHand	e769
FrontLoader	f869
FullCoverage	eb12
FullHd	f58b
FullStackedBarChart	f212
Fullscreen	e5d0
FullscreenExit	e5d1
FullscreenPortrait	f45a
Function	f866
Functions	e24a
Funicular	f477
GMobiledata	f010
GMobiledataBadge	f7e1
GTranslate	e927
GalleryThumbnail	f86f
GameBumperLeft	eee0
GameBumperRight	eedf
GameButtonL	eede
GameButtonL1	eedd
GameButtonL2	eedc
GameButtonR	eedb
GameButtonR1	eeda
GameButtonR2	eed9
GameButtonZl	eed8
GameButtonZr	eed7
GameStickL3	eed6
GameStickLeft	eed5
GameStickR3	eed4
GameStickRight	eed3
GameTriggerLeft	eed2
GameTriggerRight	eed1
Gamepad	e30f
GamepadCircleDown	eed0
GamepadCircleLeft	eecf
GamepadCircleRight	eece
GamepadCircleUp	eecd
GamepadDown	eecc
GamepadLeft	eecb
GamepadRight	eeca
GamepadUp	eec9
Games	e30f
Garage	f011
GarageCheck	f28d
GarageDoor	e714
GarageDoorOpen	fff77
GarageHome	e82d
GarageMoney	f28c
GardenCart	f8a9
GasMeter	ec19
Gastroenterology	e0f1
Gate	e277
Gavel	e90e
GeneralDevice	e6de
GeneratingTokens	e749
Genetics	e0f3
Genres	e6ee
Gesture	e155
GestureSelect	f657
GetApp	f090
Gif	e908
Gif2	f40e
GifBox	e7a3
Girl	eb68
Gite	e58b
GlassCup	f6e3
Globe	e64c
Globe2Cancel	fffb7
Globe2Question	fffb6
GlobeAsia	f799
GlobeBook	f3c9
GlobeClock	ffed1
GlobeLocationPin	f35d
GlobeUk	f798
Glucose	e4a0
Glyphs	f8a3
GoToLine	f71d
GolfCourse	eb45
GondolaLift	f476
GoogleHomeDevices	e715
GooglePlusReshare	f57a
GoogleTvRemote	f5db
GoogleWifi	f579
GppBad	f012
GppGood	f013
GppMaybe	f014
GpsFixed	e55c
GpsNotFixed	e1b7
GpsOff	e1b6
Grade	f09a
Gradient	e3e9
Grading	ea4f
Grain	e3ea
Graph1	f3a0
Graph2	f39f
Graph3	f39e
Graph4	f39d
Graph5	f39c
Graph6	f39b
Graph7	f346
Graph8	fffec
GraphicEq	e1b8
GraphicEqOff	fff98
Grass	f205
Grid3x3	f015
Grid3x3Off	f67c
Grid4x4	f016
GridGoldenratio	f017
GridGuides	f76f
GridLayoutSide	fff8d
GridOff	e3eb
GridOn	e3ec
GridView	e9b0
Grocery	ef97
Group	ea21
GroupAdd	e7f0
GroupOff	e747
GroupRemove	e7ad
GroupSearch	f3ce
GroupWork	e886
GroupedBarChart	f211
Groups	f233
Groups2	f8df
Groups3	f8e0
Guardian	f4c1
Gynecology	e0f4
HMobiledata	f018
HMobiledataBadge	f7e0
HPlusMobiledata	f019
HPlusMobiledataBadge	f7df
Hail	e9b1
Hallway	e6f8
HanamiDango	f23f
HandBones	f894
HandGesture	ef9c
HandGestureOff	f3f3
HandMeal	f294
HandPackage	f293
HandheldController	f4c6
Handshake	ebcb
HandwritingRecognition	eb02
Handyman	f10b
HangoutVideo	e0c1
HangoutVideoOff	e0c2
HardDisk	f3da
HardDrive	f80e
HardDrive2	f7a4
Hardware	ea59
Hd	e052
HdrAuto	f01a
HdrAutoSelect	f01b
HdrEnhancedSelect	ef51
HdrOff	e3ed
HdrOffSelect	f01c
HdrOn	e3ee
HdrOnSelect	f01d
HdrPlus	f01e
HdrPlusOff	e3ef
HdrStrong	e3f1
HdrWeak	e3f2
HeadMountedDevice	f4c5
Headphones	f01f
HeadphonesBattery	f020
Headset	f01f
HeadsetMic	e311
HeadsetOff	e33a
Healing	e3f3
HealthAndBeauty	ef9d
HealthAndSafety	e1d5
HealthCross	f2c3
HealthMetrics	f6e2
HeapSnapshotLarge	f76e
HeapSnapshotMultiple	f76d
HeapSnapshotThumbnail	f76c
Hearing	e023
HearingAid	f464
HearingAidDisabled	f3b0
HearingAidDisabledLeft	f2ec
HearingAidLeft	f2ed
HearingDisabled	f104
HeartBroken	eac2
HeartCheck	f60a
HeartMinus	f883
HeartPlus	f884
HeartSmile	f292
Heat	f537
HeatPump	ec18
HeatPumpBalance	e27e
Height	ea16
Helicopter	f60c
Help	e8fd
HelpCenter	f1c0
HelpClinic	f810
HelpOutline	e8fd
Hematology	e0f6
Hevc	f021
Hexagon	eb39
Hide	ef9e
HideImage	f022
HideSource	f023
HighChair	f29a
HighDensity	f79c
HighQuality	e024
HighQualityOff	ffed6
HighRes	f54b
Highlight	e25f
HighlightAlt	ef52
HighlightKeyboardFocus	f510
HighlightMouseCursor	f511
HighlightOff	e888
HighlightTextCursor	f512
HighlighterSize1	f76b
HighlighterSize2	f76a
HighlighterSize3	f769
HighlighterSize4	f768
HighlighterSize5	f767
Hiking	e50a
History	e8b3
History2	f3e6
HistoryEdu	ea3e
HistoryOff	f4da
HistoryToggleOff	f17d
Hive	eaa6
Hls	eb8a
HlsOff	eb8c
HolidayVillage	e58a
Home	e9b2
HomeAndGarden	ef9f
HomeAppLogo	e295
HomeFilled	e9b2
HomeHealth	e4b9
HomeImprovementAndTools	efa0
HomeIotDevice	e283
HomeMax	f024
HomeMaxDots	e849
HomeMini	f025
HomePin	f14d
HomeRepairService	f100
HomeSpeaker	f11c
HomeStorage	f86c
HomeStorageGear	fff7e
HomeWork	f030
HorizontalAlignCenter	fff9c
HorizontalAlignLeft	fff9b
HorizontalAlignRight	fff9a
HorizontalDistribute	e014
HorizontalRule	f108
HorizontalSplit	e947
Host	f3d9
HotTub	eb46
Hotel	e549
HotelClass	e743
Hourglass	ebff
HourglassArrowDown	f37e
HourglassArrowUp	f37d
HourglassBottom	ea5c
HourglassCheck	fffed
HourglassDisabled	ef53
HourglassEmpty	e88b
HourglassFull	e88c
HourglassPause	f38c
HourglassTop	ea5b
House	ea44
HouseSiding	f202
HouseWithShield	e786
Houseboat	e584
HouseholdSupplies	efa1
Hov	f475
HowToReg	e174
HowToVote	e175
HrResting	f6ba
Html	eb7e
Http	e902
Https	e899
Hub	e9f4
Humerus	f895
HumerusAlt	f896
HumidityHigh	f163
HumidityIndoor	f558
HumidityLow	f164
HumidityMid	f165
HumidityPercentage	f87e
Hvac	f10e
HvacMaxDefrost	f332
IceSkating	e50b
Icecream	ea69
IdCard	f4ca
IdCard2	ffeea
IdentityAwareProxy	e2dd
IdentityPlatform	ebb7
Ifl	e025
Iframe	f71b
IframeOff	f71c
Image	e3f4
ImageArrowUp	f317
ImageAspectRatio	e6a6
ImageInset	f247
ImageNotSupported	f116
ImageSearch	e43f
ImagesearchRoller	e9b4
Imagesmode	efa2
Immunology	e0fb
ImportContacts	e0e0
ImportExport	e8d5
ImportantDevices	e912
InHomeMode	e833
InactiveOrder	e0fc
Inbox	e156
InboxCustomize	f859
InboxText	f399
InboxTextAsterisk	f360
InboxTextPerson	f35e
InboxTextShare	f35c
IncompleteCircle	e79b
IndeterminateCheckBox	e909
IndeterminateQuestionBox	f56d
Info	e88e
InfoI	f59b
Infrared	f87c
InkEraser	e6d0
InkEraserOff	e7e3
InkHighlighter	e6d1
InkHighlighterMove	f524
InkHighlighterOff	fff14
InkMarker	e6d2
InkPen	e6d3
InkSelection	ef52
Inpatient	e0fe
Input	e890
InputCircle	f71a
InsertChart	f0cc
InsertChartFilled	f0cc
InsertChartOutlined	f0cc
InsertComment	e24c
InsertDriveFile	e66d
InsertEmoticon	ea22
InsertInvitation	e878
InsertLink	e250
InsertPageBreak	eaca
InsertPhoto	e3f4
InsertText	f827
Insights	f092
InstallDesktop	eb71
InstallMobile	f2cd
InstantMix	e026
IntegrationInstructions	ef54
InteractiveSpace	f7ff
Interests	e7c8
InterpreterMode	e83b
Inventory	e179
Inventory2	e1a1
InvertColors	e891
InvertColorsOff	e0c4
Ios	e027
IosShare	e6b8
Iron	e583
Iso	e3f6
JamboardKiosk	e9b5
JapaneseCurry	f284
JapaneseFlag	f283
Javascript	eb7c
Jewelry	ffedb
Join	f84f
JoinFull	f84f
JoinInner	eaf4
JoinLeft	eaf2
JoinRight	eaea
Joystick	f5ee
JumpToElement	f719
KanjiAlcohol	f23e
Kayaking	e50c
KebabDining	e842
Keep	f027
KeepOff	e6f9
KeepPin	f027
KeepPublic	f56f
Kettle	e2b9
Key	e73c
KeyOff	eb84
KeyVertical	f51a
KeyVisualizer	f199
Keyboard	e312
KeyboardAlt	f028
KeyboardArrowDown	e313
KeyboardArrowLeft	e314
KeyboardArrowRight	e315
KeyboardArrowUp	e316
KeyboardBackspace	e317
KeyboardCapslock	e318
KeyboardCapslockBadge	f7de
KeyboardCommandKey	eae7
KeyboardControlKey	eae6
KeyboardDoubleArrowDown	ead0
KeyboardDoubleArrowLeft	eac3
KeyboardDoubleArrowRight	eac9
KeyboardDoubleArrowUp	eacf
KeyboardExternalInput	f7dd
KeyboardFull	f7dc
KeyboardHide	e31a
KeyboardKeys	f67b
KeyboardLock	f492
KeyboardLockOff	f491
KeyboardOff	f67a
KeyboardOnscreen	f7db
KeyboardOptionKey	eae8
KeyboardPreviousLanguage	f7da
KeyboardReturn	e31b
KeyboardTab	e31c
KeyboardTabRtl	ec73
KeyboardVoice	e31d
KidStar	f526
KingBed	ea45
Kitchen	eb47
Kitesurfing	e50d
LabPanel	e103
LabProfile	e104
LabResearch	f80b
Label	e893
LabelImportant	e948
LabelImportantOutline	e948
LabelOff	e9b6
LabelOutline	e893
Labs	e105
Lan	eb2f
Landscape	e564
Landscape2	f4c4
Landscape2Edit	f310
Landscape2Off	f4c3
Landslide	ebd7
Language	ea07
LanguageChineseArray	f766
LanguageChineseCangjie	f765
LanguageChineseDayi	f764
LanguageChinesePinyin	f763
LanguageChineseQuick	f762
LanguageChineseWubi	f761
LanguageFrench	f760
LanguageGbEnglish	f75f
LanguageInternational	f75e
LanguageJapaneseKana	f513
LanguageKoreanLatin	f75d
LanguagePinyin	f75c
LanguageSpanish	f5e9
LanguageUs	f759
LanguageUsColemak	f75b
LanguageUsDvorak	f75a
Laps	f6b9
Laptop	e31e
LaptopCar	f3cd
LaptopChromebook	e31f
LaptopMac	e320
LaptopWindows	e321
LassoSelect	eb03
LastPage	e5dd
Launch	e89e
Laundry	e2a8
Layers	e53b
LayersClear	e53c
Lda	e106
Leaderboard	f20c
LeakAdd	e3f8
LeakRemove	e3f9
LeftClick	f718
LeftPanelClose	f717
LeftPanelOpen	f716
LegendToggle	f11b
Lens	e3fa
LensBlur	f029
LetterSwitch	f758
LibraryAdd	e03c
LibraryAddCheck	e9b7
LibraryBooks	e02f
LibraryMusic	e030
License	eb04
LiftToTalk	efa3
Light	f02a
LightGroup	e28b
LightGroup2	fff76
LightMode	e518
LightModeAuto	fff00
LightOff	e9b8
Lightbulb	e90f
Lightbulb2	f3e3
LightbulbCircle	ebfe
LightbulbOutline	e90f
LightningStand	efa4
Lightstrip	fff75
LineAxis	ea9a
LineCurve	f757
LineEnd	f826
LineEndArrow	f81d
LineEndArrowNotch	f81c
LineEndCircle	f81b
LineEndDiamond	f81a
LineEndSquare	f819
LineStart	f825
LineStartArrow	f818
LineStartArrowNotch	f817
LineStartCircle	f816
LineStartDiamond	f815
LineStartSquare	f814
LineStyle	e919
LineWeight	e91a
LinearScale	e260
Link	e250
Link2	fffb5
LinkOff	e16f
LinkedCamera	e438
LinkedServices	f535
Lips	eeb2
Liquor	ea60
List	e896
List2	ffeca
ListAlt	e0ee
ListAltAdd	f756
ListAltCheck	f3de
ListArrow	fff33
Lists	e9b9
LiveHelp	e0c6
LiveTv	e63a
Living	f02b
LocalActivity	e553
LocalAirport	e53d
LocalAtm	e53e
LocalBar	e540
LocalCafe	eb44
LocalCarWash	e542
LocalConvenienceStore	e543
LocalDining	e561
LocalDrink	e544
LocalFireDepartment	ef55
LocalFlorist	e545
LocalGasStation	e546
LocalGroceryStore	e8cc
LocalHospital	e548
LocalHotel	e549
LocalLaundryService	e54a
LocalLibrary	e54b
LocalMall	e54c
LocalMovies	e8da
LocalOffer	f05b
LocalParking	e54f
LocalPharmacy	e550
LocalPhone	f0d4
LocalPizza	e552
LocalPlay	e553
LocalPolice	ef56
LocalPostOffice	e554
LocalPrintshop	e8ad
LocalSee	e557
LocalShipping	e558
LocalTaxi	e559
LocationAutomation	f14f
LocationAway	f150
LocationChip	f850
LocationCity	e7f1
LocationDisabled	e1b6
LocationHome	f152
LocationOff	e0c7
LocationOn	f1db
LocationPin	f1db
LocationSearching	e1b7
LocatorTag	f8c1
Lock	e899
LockClock	ef57
LockOpen	e898
LockOpenCircle	f361
LockOpenRight	f656
LockOutline	e899
LockPerson	f8f3
LockReset	eade
Login	ea77
LogoDev	ead6
Logout	e9ba
Looks	e3fc
Looks3	e3fb
Looks4	e3fd
Looks5	e3fe
Looks6	e3ff
LooksOne	e400
LooksTwo	e401
Loop	e863
Loupe	e402
LowDensity	f79b
LowPriority	e16d
Lowercase	f48a
Loyalty	e89a
LteMobiledata	f02c
LteMobiledataBadge	f7d9
LtePlusMobiledata	f02d
LtePlusMobiledataBadge	f7d8
Luggage	f235
LunchDining	ea61
Lyrics	ec0b
MacroAuto	f6f2
MacroOff	f8d2
MagicButton	f136
MagicExchange	f7f4
MagicTether	f7d7
MagnificationLarge	f83d
MagnificationSmall	f83c
MagnifyDocked	f7d6
MagnifyFullscreen	f7d5
Mail	e159
MailAsterisk	eef4
MailLock	ec0a
MailOff	f48b
MailOutline	e159
MailShield	f249
Male	e58e
Man	e4eb
Man2	f8e1
Man3	f8e2
Man4	f8e3
ManageAccounts	f02e
ManageHistory	ebe7
ManageSearch	f02f
Manga	f5e3
Manufacturing	e726
Map	e55b
MapPinHeart	f298
MapPinReview	f297
MapSearch	f3ca
MapsHomeWork	f030
MapsUgc	ef58
Margin	e9bb
MarkAsUnread	e9bc
MarkChatRead	f18b
MarkChatUnread	f189
MarkEmailRead	f18c
MarkEmailUnread	f18a
MarkUnreadChatAlt	eb9d
Markdown	f552
MarkdownCopy	f553
MarkdownPaste	f554
Markunread	e159
MarkunreadMailbox	e89b
MaskedTransitions	e72e
MaskedTransitionsAdd	f42b
Masks	f218
Massage	f2c2
MatchCase	f6f1
MatchCaseOff	f36f
MatchWord	f6f0
Matter	e907
Maximize	e930
MealDinner	f23d
MealLunch	f23c
MeasuringTape	f6af
MediaBluetoothOff	f031
MediaBluetoothOn	f032
MediaLink	f83f
MediaOutput	f4f2
MediaOutputOff	f4f3
Mediation	efa7
MedicalInformation	ebed
MedicalMask	f80a
MedicalServices	f109
Medication	f033
MedicationLiquid	ea87
MeetingRoom	eb4f
Memory	e322
MemoryAlt	f7a3
MenstrualHealth	f6e1
Menu	e5d2
MenuBook	ea19
MenuBook2	f291
MenuOpen	e9bd
Merge	eb98
MergeType	e252
Message	e0c9
Metabolism	e10b
Metro	f474
MfgNestYaleLock	f11d
Mic	e31d
MicAlert	f392
MicDouble	f5d1
MicExternalOff	ef59
MicExternalOn	ef5a
MicGear	eeba
MicNone	e31d
MicOff	e02b
Microbiology	e10c
Microwave	f204
MicrowaveGen	e847
MilitaryTech	ea3f
Mimo	e9be
MimoDisconnect	e9bf
Mindfulness	f6e0
Minimize	e931
MinorCrash	ebf1
Mintmark	efa9
MissedVideoCall	f0ce
MissedVideoCallFilled	f0ce
MissingController	e701
Mist	e188
Mitre	f547
MixtureMed	e4c8
Mms	e618
Mobile	e7ba
Mobile2	f2db
Mobile3	f2da
MobileAlert	f2d3
MobileArrowDown	f2cd
MobileArrowRight	f2d2
MobileArrowUpRight	f2b9
MobileBlock	f2e5
MobileCamera	f44e
MobileCameraFront	f2c9
MobileCameraRear	f2c8
MobileCancel	f2ea
MobileCast	f2cc
MobileCharge	f2e3
MobileChat	f79f
MobileCheck	f073
MobileCode	f2e2
MobileDock	f2e0
MobileDots	f2d0
MobileFriendly	f073
MobileGear	f2d9
MobileHand	f323
MobileHandLeft	f313
MobileHandLeftOff	f312
MobileHandOff	f314
MobileInfo	f2dc
MobileLandscape	ed3e
MobileLayout	f2bf
MobileLockLandscape	f2d8
MobileLockPortrait	f2be
MobileLoupe	f322
MobileMenu	f2d1
MobileOff	e201
MobileQuestion	f2e1
MobileRotate	f2d5
MobileRotateLock	f2d6
MobileScreenShare	f2df
MobileScreensaver	f321
MobileSensorHi	f2ef
MobileSensorLo	f2ee
MobileShare	f2df
MobileShareStack	f2de
MobileSound	f2e8
MobileSound2	f318
MobileSoundOff	f7aa
MobileSpeaker	f320
MobileTap	ffeb2
MobileText	f2eb
MobileText2	f2e6
MobileTheft	f2a9
MobileTicket	f2e4
MobileUnlock	eeea
MobileVibrate	f2cb
MobileWrench	f2b0
MobiledataArrows	fffa3
MobiledataOff	f034
Mode	f097
ModeComment	e253
ModeCool	f166
ModeCoolOff	f167
ModeDual	f557
ModeEdit	f097
ModeEditOutline	f097
ModeFan	f168
ModeFan2	fffd0
ModeFanOff	ec17
ModeHeat	f16a
ModeHeatCool	f16b
ModeHeatOff	f16d
ModeNight	f036
ModeOfTravel	e7ce
ModeOffOn	f16f
ModeStandby	f037
ModelTraining	f0cf
Modeling	f3aa
MonetizationOn	e263
Money	e57d
MoneyBag	f3ee
MoneyOff	f038
MoneyOffCsred	f038
MoneyRange	f245
Monitor	ef5b
MonitorHeart	eaa2
MonitorWeight	f039
MonitorWeightGain	f6df
MonitorWeightLoss	f6de
Monitoring	f190
MonochromePhotos	e403
Monorail	f473
Mood	ea22
MoodBad	e7f3
MoodHeart	fffb4
MoonStars	f34f
Mop	e28d
Moped	eb28
MopedPackage	f28b
More	e619
MoreDown	f196
MoreHoriz	e5d3
MoreTime	ea5d
MoreUp	f197
